w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
3.621572995e+02,1.078450207e+00,9.856185724e-01,9.374739117e-02,4.139532689e-03
3.727593720e+02,1.074168723e+00,9.857405204e-01,8.954348938e-02,3.841395398e-03
3.836718178e+02,1.070053917e+00,9.858598798e-01,8.554139516e-02,3.563791149e-03
3.949037230e+02,1.066104789e+00,9.859760251e-01,8.173270354e-02,3.305374343e-03
4.064644396e+02,1.062319916e+00,9.860883756e-01,7.810918600e-02,3.064881767e-03
4.183635935e+02,1.058697500e+00,9.861963959e-01,7.466280377e-02,2.841128171e-03
4.306110925e+02,1.055235397e+00,9.862995968e-01,7.138571902e-02,2.633002028e-03
4.432171342e+02,1.051931160e+00,9.863975364e-01,6.827030399e-02,2.439461464e-03
4.561922150e+02,1.048782070e+00,9.864898213e-01,6.530914816e-02,2.259530366e-03
4.695471382e+02,1.045785166e+00,9.865761094e-01,6.249506368e-02,2.092294656e-03
4.832930239e+02,1.042937276e+00,9.866561125e-01,5.982108908e-02,1.936898722e-03
4.974413171e+02,1.040235042e+00,9.867296008e-01,5.728049143e-02,1.792542009e-03
5.120037985e+02,1.037674941e+00,9.867964084e-01,5.486676703e-02,1.658475773e-03
5.269925932e+02,1.035253305e+00,9.868564395e-01,5.257364079e-02,1.533999979e-03
5.424201814e+02,1.032966334e+00,9.869096769e-01,5.039506429e-02,1.418460355e-03
5.582994087e+02,1.030810113e+00,9.869561908e-01,4.832521270e-02,1.311245595e-03
5.746434969e+02,1.028780618e+00,9.869961498e-01,4.635848066e-02,1.211784700e-03
5.914660545e+02,1.026873724e+00,9.870298319e-01,4.448947713e-02,1.119544466e-03
6.087810886e+02,1.025085211e+00,9.870576359e-01,4.271301949e-02,1.034027104e-03
6.266030164e+02,1.023410766e+00,9.870800936e-01,4.102412679e-02,9.547679934e-04
6.449466771e+02,1.021845987e+00,9.870978796e-01,3.941801252e-02,8.813335594e-04
