w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
9.885245709e+01,1.140545262e+00,1.059759463e+00,5.943505534e-01,6.337897743e-02
1.017463403e+02,1.150210141e+00,1.056809939e+00,5.797349848e-01,5.997478139e-02
1.047249412e+02,1.159186858e+00,1.053989038e+00,5.649744205e-01,5.675313896e-02
1.077907400e+02,1.167459078e+00,1.051294310e+00,5.500949899e-01,5.370474867e-02
1.109462894e+02,1.175014869e+00,1.048722476e+00,5.351237239e-01,5.082071869e-02
1.141942168e+02,1.181846473e+00,1.046269817e+00,5.200883519e-01,4.809255716e-02
1.175372265e+02,1.187950223e+00,1.043932374e+00,5.050170873e-01,4.551216136e-02
1.209781021e+02,1.193326478e+00,1.041706058e+00,4.899384052e-01,4.307180625e-02
1.245197085e+02,1.197979561e+00,1.039586723e+00,4.748808155e-01,4.076413227e-02
1.281649946e+02,1.201917650e+00,1.037570212e+00,4.598726360e-01,3.858213281e-02
1.319169956e+02,1.205152646e+00,1.035652393e+00,4.449417699e-01,3.651914139e-02
1.357788357e+02,1.207699991e+00,1.033829182e+00,4.301154899e-01,3.456881878e-02
1.397537302e+02,1.209578453e+00,1.032096561e+00,4.154202351e-01,3.272514002e-02
1.438449888e+02,1.210809874e+00,1.030450598e+00,4.008814213e-01,3.098238156e-02
1.480560181e+02,1.211418890e+00,1.028887450e+00,3.865232693e-01,2.933510855e-02
1.523903244e+02,1.211432622e+00,1.027403377e+00,3.723686530e-01,2.777816235e-02
1.568515164e+02,1.210880353e+00,1.025994747e+00,3.584389683e-01,2.630664827e-02
1.614433089e+02,1.209793190e+00,1.024658040e+00,3.447540257e-01,2.491592362e-02
1.661695250e+02,1.208203721e+00,1.023389852e+00,3.313319650e-01,2.360158615e-02
1.710341000e+02,1.206145671e+00,1.022186893e+00,3.181891942e-01,2.235946270e-02
1.760410844e+02,1.203653565e+00,1.021045995e+00,3.053403506e-01,2.118559839e-02
1.811946471e+02,1.200762397e+00,1.019964105e+00,2.927982841e-01,2.007624608e-02
1.864990791e+02,1.197507322e+00,1.018938288e+00,2.805740607e-01,1.902785622e-02
1.919587972e+02,1.193923359e+00,1.017965724e+00,2.686769855e-01,1.803706718e-02
