# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
2.83730362e+04,1.00000013e+00,1.00000478e+00
2.93044698e+04,1.00000011e+00,1.00000436e+00
3.02664806e+04,1.00000009e+00,1.00000399e+00
3.12600724e+04,1.00000008e+00,1.00000365e+00
3.22862820e+04,1.00000007e+00,1.00000334e+00
3.33461802e+04,1.00000006e+00,1.00000306e+00
3.44408728e+04,1.00000005e+00,1.00000281e+00
3.55715021e+04,1.00000005e+00,1.00000257e+00
3.67392478e+04,1.00000004e+00,1.00000236e+00
3.79453285e+04,1.00000003e+00,1.00000217e+00
3.91910025e+04,1.00000003e+00,1.00000200e+00
4.04775697e+04,1.00000003e+00,1.00000183e+00
4.18063724e+04,1.00000002e+00,1.00000169e+00
4.31787973e+04,1.00000002e+00,1.00000155e+00
4.45962763e+04,1.00000002e+00,1.00000143e+00
