t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,enc_edge_count_a,enc_edge_count_b,enc_phase_ewma,enc_duty_a_ewma,enc_duty_b_ewma,fault_flags,ps_phase,dc_phase,trap_phase,flags
53408344,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53409471,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53410603,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53411730,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08860207,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53412857,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53413984,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53415110,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53416452,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53417579,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53418706,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53419833,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53420960,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53422092,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53423219,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53424346,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53425473,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53426600,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53427731,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53428859,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53429987,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53431114,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0.00714798551,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53432241,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
